ID_REF	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
A_24_P933410	44.23748271659398	-0.002512562541684179	0.040691901778009854	3.2885912660975397e-8	4.975359480073768e-6	TRUE
A_23_P126582	213.67676154633995	-0.0025166513045597133	0.040696723245186604	5.060795761610582e-5	0.004748115016614047	TRUE
A_24_P402078	110.21427929413323	-0.0025210442387519558	0.04069264891491067	3.021195529677478e-11	1.4746311513901973e-8	TRUE
A_24_P937620	51.26770424038931	-0.002524003047415515	0.04069281883854696	9.809460188313877e-9	1.6282909624326678e-6	TRUE
A_23_P92972	110.78441239190302	-0.0025277517218704974	0.040696745727299824	5.413076344107641e-4	0.0414833888053109	TRUE
A_32_P86067	14.615314835615647	-0.0025317366191075124	0.04069260090685766	3.50004232838154e-5	0.0033927092166315355	TRUE
A_24_P113458	71.6789715681607	-0.002534118446881654	0.04069385497851654	4.38148652367671e-6	4.97620353104557e-4	TRUE
A_32_P195461	10.055649200846966	-0.0025421932209107123	0.040686934101343455	9.975237375688921e-5	0.009008474282009819	TRUE
A_23_P89192	26.45505196820307	-0.0025501577508791717	0.04069265968466891	5.039784924702398e-7	6.242633894646476e-5	TRUE
A_24_P676878	143.20237151675238	-0.0025509148685447054	0.040701794566591606	4.955191439184882e-7	6.156449969896368e-5	TRUE
A_24_P405705	122.26621134179459	-0.002555096508937539	0.04070131135065658	1.733144040860999e-5	0.0017737224753991022	TRUE
A_23_P114259	9.302102487764019	-0.0025567467526143857	0.04069411187291918	2.2924188298923662e-4	0.018949429843868347	TRUE
A_23_P417821	99.70008508549807	-0.0025658438416036595	0.04069721653757071	1.4070319490825257e-8	2.271193303637148e-6	TRUE
A_24_P935492	27.70247830754253	-0.002567159325695927	0.04069925148859012	1.314281788666505e-6	1.566440503933916e-4	TRUE
A_32_P85131	184.35878666677309	-0.002570575332486021	0.04070107976535749	2.10318033748575e-9	4.165719509029746e-7	TRUE
A_24_P937366	157.08615387935032	-0.0025724770478380097	0.04069968806583158	2.706808010523235e-12	2.41258974850984e-9	TRUE
A_24_P239407	227.18958444544256	-0.002575132362071932	0.04070159107749017	2.808066729590845e-4	0.022663530691579652	TRUE
A_32_P404549	147.44679389479646	-0.002575161565190275	0.0407007641950004	4.4904643560720965e-12	3.699479341876979e-9	TRUE
A_24_P21161	148.14563803838456	-0.002580399207177987	0.0407027467716686	1.3127135707745574e-4	0.011574463742313301	TRUE
A_23_P387624	118.1751495402175	-0.0025819178603498747	0.04070247404979049	2.6330478549761163e-4	0.021377220208716984	TRUE
A_23_P255457	72.09951383704183	-0.0025844123748175406	0.040699095960712174	1.2446219141659965e-9	2.758351269232749e-7	TRUE
A_24_P760368	120.47765565168818	-0.00258460362545538	0.04069899563128315	1.1100653549255847e-10	4.253521453453175e-8	TRUE
A_23_P396322	165.122546226929	-0.0025969274611045965	0.04070303441409933	2.0632025316487806e-12	2.014078661847619e-9	TRUE
A_24_P582056	193.79811558947534	-0.002613271144433891	0.040706920108361175	4.326788416392002e-4	0.03365578629227532	TRUE
A_24_P910080	156.8903022854104	-0.0026210086300377045	0.04070239480712242	1.9212328458930817e-7	2.5086161363572088e-5	TRUE
A_23_P407750	65.04256053875542	-0.002621942155127703	0.04070311250166975	1.385800103130909e-9	3.0222236291684716e-7	TRUE
A_24_P367762	27.40237042992804	-0.002623473824617398	0.040703572267775164	8.795588096176157e-7	1.066920449536161e-4	TRUE
A_32_P128006	152.80069818321144	-0.002630418992851281	0.04070851726684645	1.1231337548584261e-5	0.0011868165966287493	TRUE
A_24_P410878	166.25759722297332	-0.0026335350547257164	0.040706640744239776	4.71893582186166e-8	6.984706451130977e-6	TRUE
A_32_P1192	144.44054733274183	-0.0026345374429971587	0.04070719106675303	1.6059823474290672e-4	0.013862163419914053	TRUE
A_24_P374461	81.68339870681166	-0.002636049935893444	0.04070462096140598	1.938341524841085e-10	6.514098567088892e-8	TRUE
A_24_P85382	63.65003073262634	-0.002654426610281744	0.04071163598826636	2.6760507040600666e-5	0.0026566120790911074	TRUE
A_32_P124819	384.46577735012715	-0.0026568616689257394	0.04070572324128879	1.9843894274879666e-7	2.5828560802224324e-5	TRUE
